Sample	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	normal	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	tumor	normal	tumor	tumor	normal	normal	tumor	tumor	tumor	tumor	normal	tumor	normal	normal	tumor	tumor	normal	normal	tumor	tumor	tumor	tumor	normal	tumor	normal
10	0.494031293	0.575241277	-0.493390151	0.650306963	-0.278163122	-1.971155864	0.144928351	-0.296536678	1.065039495	-0.135467167	-0.171729923	1.116397562	-0.461491563	-0.229757088	0.367011227	1.13923185	-1.519566096	-1.672336342	-0.530690074	-1.476568573	1.810423445	0.56265305	-0.65952367	-2.555619448	0.692089385	-0.798099804	-0.340239253	1.24923501	1.625323158	1.143196183	2.42313232	-2.456415522	-1.858032097	0.592105943	-2.90E-02	-1.028895781	0.634037085	-0.420178604	0.119902418	0.336084067	0.52438081	-0.443947758	0.222517736	0.179418292	0.782204034	0.135053093	0.587295589	-0.224150073	-1.221302578	0.565829691	0.532372581	0.66572235	1.36607164	0.448332265	-0.301206525	-0.737873691	0.360404627	-3.49E-02	0.975630818	-0.195469697	-0.977807999	-0.566082667
11	-0.238855813	-1.054907377	-0.354146921	-0.999658631	-0.150913855	-0.473634234	-1.261695052	1.24498133	1.829431591	0.480879933	1.519623055	0.760910715	-1.19E-02	0.205171872	1.047323427	1.113444208	1.342038159	-0.823942402	-9.01E-03	-0.115884132	-0.496651264	-0.440795207	1.720092428	-1.702528583	0.77592106	-1.402203254	-2.069682208	0.969036919	0.13953476	-0.179094708	1.851166343	-9.88E-02	0.458039526	1.433819674	-0.287498707	-0.350640958	-1.02E-02	0.017796562	-0.610564669	4.65E-03	-0.409472156	-0.101294169	-0.733562203	0.757083287	0.529500387	1.140834009	1.689587677	-0.987332324	-1.654316077	-8.58E-02	-1.974066493	1.010340102	-7.96E-02	0.151249093	-0.492217021	-0.328415118	0.277017947	-1.387190054	1.469184416	-2.018177625	-0.737636579	0.193745608
12	-0.933551213	-0.488460038	-0.997012112	-1.367951993	0.482961868	2.42E-02	-0.790958801	9.89E-02	-0.15804723	0.96087086	1.614519091	0.241850487	0.517891396	-1.68E-02	0.506273335	-1.849284905	0.608429537	1.004047517	0.638343797	0.804791206	-0.280294617	-0.36483355	0.614151789	-0.74262146	1.749021841	-1.646441285	-2.185976841	0.931245357	0.216085296	0.443387353	0.817102254	-0.789793485	-1.69E-02	1.507250707	-1.392441534	0.445338726	0.779883368	0.195878852	-1.138434683	-0.337141105	-1.084919786	0.609276514	0.323932858	1.209421448	0.476622229	1.710569506	1.373542905	-0.377384321	-2.111219291	0.51037241	5.91E-02	1.853059828	0.777996818	0.333405393	-0.557985143	-0.981691734	-2.67E-02	-1.38251614	1.012787938	-1.423632836	-1.304112261	-0.705419825
13	-1.364603266	0.672512839	-1.342406982	-1.351842123	0.32802366	-0.479944159	-1.105945333	-0.118612165	-1.18737376	2.29155573	2.074587391	1.131029665	-1.75E-02	-0.236813087	-0.599723961	-0.64828409	-1.030146182	-7.18E-02	-1.379319196	1.011383157	-0.19043358	1.381671677	-5.16E-02	-0.206319964	-0.244139783	-0.353808114	-4.22E-02	0.453784689	1.507427871	1.185068138	0.653407232	0.53567649	-0.509606697	0.735362288	-1.006287021	-1.092522246	0.827242803	-0.579614193	2.05E-02	-0.416292228	-1.833008124	-0.203665832	1.319680668	1.112133836	1.957798737	0.574228782	1.551221661	1.591446186	0.149644378	1.060864553	-0.728684329	-0.27189814	-1.044206066	-0.684370605	-0.447434518	-0.293713379	0.110131958	-2.095234858	-0.134070848	0.496104813	-1.29750429	-7.16E-02
14	-1.610921995	0.504908651	-2.219815612	-0.82838053	-0.367549243	0.41799295	-1.340135979	0.497554258	0.344531405	1.36496722	0.514255041	1.475273907	-0.117434546	0.276534703	-0.156581432	-0.225488272	-1.444902586	-0.240064526	-0.468287254	1.168095834	-1.351009229	-0.266262737	-0.165628353	-1.262247862	0.647533556	-1.6976538	-1.611466381	0.263430654	-0.27597979	-7.81E-02	0.485905913	-0.447372823	0.092738132	0.463067934	-1.047278885	-0.329232485	-1.382614569	-0.205288052	0.461245413	-0.137449236	-0.7736269	0.944228371	1.776458021	1.272737069	1.103242194	1.709845113	1.199401124	0.994707768	-0.385844181	1.444463509	0.115810463	1.961214369	0.291647605	1.225275507	-0.71977258	0.571379148	0.150605358	-2.047706973	0.409174036	-4.26E-02	-1.474719762	0.573223428
15	-0.240734689	-0.708082117	-2.408785557	-1.067280579	-0.115734716	-0.483099831	-0.523899781	-0.964282639	1.312534092	2.16E-02	1.399324006	0.607945737	-1.54E-02	-4.12E-02	0.412467699	0.701199432	0.84693637	-0.783880516	0.24505108	0.123719669	-0.682064654	-0.797710778	1.399666307	-1.547223794	1.708075728	-1.142204608	-0.90056132	1.113512358	0.475538623	0.898080281	0.774819802	-0.51800573	0.699085698	1.101949919	-0.688448403	0.202996478	-0.014492523	0.47686278	-0.458049677	0.759045112	-0.851278494	-4.92E-02	0.585564912	1.358534277	0.623682226	1.727079921	1.58944079	-0.564631241	-1.418909917	-0.131915679	-0.750722955	1.901209698	0.481382814	0.211562725	-2.099682616	-0.516377419	-0.671538435	-0.739347064	1.216956161	-2.354350748	-0.856797687	0.129963353
16	-0.410174852	0.787062711	-0.340911454	-0.196963321	-0.463042418	-0.696885435	-0.468653457	0.356521392	-1.811863057	0.828100468	1.565748387	-0.279503744	-0.215888708	0.376905445	0.450490348	-0.660097139	-1.434388335	0.241141388	-1.135094467	0.125271857	0.813496477	1.641760522	-0.46055163	-3.223966455	0.934693399	-0.902349908	-0.525580705	0.827096902	1.461609967	1.349342837	0.438746183	-0.639123678	-0.432123535	0.394326749	-0.950470199	-1.260867753	0.552667864	-1.184125633	0.227679942	-0.23064539	-1.759833962	0.278687822	1.374226683	1.372898547	2.017908093	1.022299169	1.504507059	0.92930152	-0.187022917	0.935481322	0.313836383	0.211081334	-0.787032174	0.708129019	-0.176987195	-0.619103188	-0.624266545	-1.755841964	0.507694344	0.295792454	-0.916438875	-9.47E-02
17	-5.35E-02	-0.538411096	-2.256101822	-1.395468686	-1.153585223	-1.013708598	-1.248046482	-0.58653536	1.172447279	-0.631719349	1.232589421	0.1570137	-0.518950889	-6.15E-02	5.65E-02	-1.048539246	-0.888893586	-1.194154924	0.214439874	-0.500763693	0.283185054	-0.386446435	0.447480138	-2.347436415	0.5982656	-0.97419155	-2.0239895	0.746050005	0.617934771	-6.29E-02	0.813026569	-0.303328925	0.225256795	0.628726002	0.199860732	0.685661721	-0.95298745	0.825028729	0.151210093	0.578708231	-1.04336601	-0.294327313	1.249965124	1.003755701	0.868005354	1.933636643	1.86879781	-0.327600411	-0.716118812	1.44277432	0.454541488	2.390847236	0.737936841	0.416729858	-3.29E-02	4.49E-02	-0.289962636	-1.094757866	1.850755024	-0.484933168	3.76E-02	0.491492965
18	-1.054555316	-4.63E-02	-0.568167566	-0.598382203	9.05E-02	-0.614147344	-0.813759519	0.949078047	0.122983651	0.89357444	1.568803481	0.728539158	-0.640888299	0.19681431	0.259404507	1.46E-02	-0.689170647	0.815441463	0.385011287	1.219622544	0.110442247	-0.323597716	0.492366729	-1.161862699	0.635353083	-2.118631139	-2.357307693	0.258378152	-0.76040584	-6.95E-02	1.382040035	-0.712754006	-0.374645948	1.147638908	0.168676576	0.649204196	-0.955193086	-0.157064951	-0.33814494	-0.538084161	-1.35704386	0.156370063	1.178220717	1.845888466	1.100818632	1.64106995	1.527946324	0.203240152	-1.755612461	1.430471469	-1.844286718	0.688670755	0.626914526	0.850830266	-0.315734172	-9.94E-02	-0.205846759	-2.035360872	1.321970836	-0.911420978	-1.319767697	0.07610747
19	-0.974184497	6.39E-02	-1.319228752	-1.188935859	-0.639888541	-1.510556935	-0.153489386	-0.541476419	-1.300774426	1.001847493	2.227262432	0.615756681	0.330116309	0.13360359	-0.233535662	-0.451753677	-0.861396397	-1.828107823	-1.711317066	-0.675256005	-1.40E-02	0.903720906	0.919962779	-2.054896016	0.706737664	-5.62E-02	0.626214824	1.19666839	2.287831605	2.028348532	1.356452314	-9.01E-02	0.519217311	0.262724204	-0.457098868	-0.356109278	0.188954377	0.306616471	9.25E-02	1.078150492	-1.746628134	-1.402729716	0.695516597	0.957713129	1.564604194	0.479920018	1.096671778	0.154794707	-0.518399984	0.990609149	0.344257812	0.551759117	-0.763688249	-0.783430622	-0.271946357	-0.667460622	-0.743042887	-1.048390469	0.910954341	0.23240276	-0.588556388	0.126689992
20	-0.538128905	-3.48E-02	-1.720878642	-1.48927832	0.119058935	-1.37050848	-0.251181636	-1.470993968	-1.062655026	1.041847121	2.079338299	0.698977681	0.169971893	-0.109012738	0.140952239	0.633625458	-0.435305849	-2.469136257	-0.867842305	-0.471296904	2.19E-02	0.417156171	0.80822517	-2.061434164	0.780876824	0.301189165	0.238246852	1.349044563	2.406668778	1.924219045	1.210605756	-6.15E-03	0.184910599	-1.80E-02	-0.899489577	-1.084369684	1.242086689	4.02E-02	0.276125701	0.740567178	-1.651726815	-1.143994288	0.548183971	0.823000898	1.406810627	0.582075344	1.251776708	-6.95E-02	-0.614634933	0.629370373	0.775885577	0.578078571	0.126181342	-1.034307041	-0.43811085	-0.536116083	-0.395887024	-0.799096159	0.645614047	-0.253324134	-0.445897877	-0.449583142
21	0.420936331	0.555046528	-1.278850148	-0.103078185	-1.511521112	-2.160689063	0.275673755	-1.456165652	0.944468651	-7.07E-02	1.602411757	1.669546914	-1.194495992	-0.47992902	0.200421673	0.627125153	0.866724516	-0.661273969	-0.355628768	-1.096492372	0.697589246	5.83E-02	-0.169630427	-2.744215377	2.75E-02	-0.534475375	-0.251505663	0.694617516	1.125819766	0.98177414	0.242572644	-0.282849275	0.253671811	-0.346351068	0.010592931	-1.215881501	0.284909827	-1.235496343	-0.671932163	0.710443271	-1.405939828	-0.367741403	1.388971039	2.156019088	1.509475593	1.45016217	0.218388389	-0.433164393	-4.90E-02	0.969705874	0.637998438	1.6778254	0.158861815	-1.282796981	-0.519148364	-1.441322372	-0.300216499	-5.62E-02	1.206916227	-0.388745151	4.65E-03	0.436339757
22	-1.176904073	2.49E-02	-3.954746588	-1.001769771	0.108485357	-0.129529791	-0.539254573	-0.715340261	1.736098254	0.7156815	0.926473498	-3.40E-02	-3.95E-02	-0.553856671	0.442201536	0.308707042	-0.24826744	0.234448932	7.02E-02	0.486998131	-6.90E-02	-0.386572922	2.245847238	-1.459034009	1.178276275	-0.890312971	-0.929399642	0.132133904	-2.89E-02	0.668475413	0.12624697	0.141347906	0.599444084	0.697098919	-1.015556585	0.412485927	-0.351369738	0.168631321	-0.228380943	-0.120845072	-0.601635856	0.381278648	0.780791514	1.836401403	0.33765374	1.429190949	1.78036119	-4.06E-02	-1.281727728	-0.253831437	0.159349858	1.997964006	1.080591561	1.51E-02	-0.497633086	-0.264100184	-1.130194682	-2.081287468	0.357683854	-0.716727616	-0.536679742	-0.303518003
23	0.927892763	0.55359217	-0.809771461	5.14E-02	-0.715223774	-2.139043143	8.00E-02	-1.63492647	0.610414682	-0.92210958	2.108557963	1.378262022	-0.652442506	-0.213386536	-1.16E-02	0.41200422	0.987546369	-1.107538573	3.43E-02	-1.225850929	-9.90E-03	2.02E-02	-1.368854748	-2.847077749	0.573323927	-6.60E-02	-0.109848909	0.923306155	1.295462912	1.638758946	0.496510089	-0.19224075	0.11489272	-0.213825005	-0.438756478	-0.834686952	0.349909153	-0.300586732	-1.007609986	1.110089061	-1.057271709	-0.642100716	1.136647344	1.939087462	1.03057073	1.731922555	0.942036091	-0.477012847	-0.12464509	0.508416777	0.549246193	1.331711376	0.611404952	-1.233180767	-1.056771872	-1.356576641	-0.676580513	-0.549057435	0.695527058	-0.183575581	-8.75E-02	0.122607382
24	0.581460579	0.769536917	-0.513878576	0.751795392	-0.375094982	-1.33120861	-0.669888278	-0.936098556	2.397209606	0.324915928	-0.743042322	1.29798693	-6.41E-02	-0.583060391	0.143873592	0.673033211	-1.538459423	-1.258908539	-0.648791729	-1.512839698	1.424968051	0.610165677	-1.2978106	-2.701811879	0.310095517	0.553536698	-5.08E-03	1.437115816	2.115232992	-0.103268179	1.625185681	-1.186127647	-1.150122355	1.129937135	0.577860568	-0.890824383	0.304178556	-0.463966672	-0.199129581	-5.46E-02	0.473759706	-0.341792568	0.243514165	-0.41965303	1.343898627	0.505629207	1.112249891	0.610304999	-1.03934912	-0.639367756	0.11292626	0.901760479	1.172655998	0.66482627	-0.67508449	-0.889624511	0.607334963	-0.412757382	0.204190517	0.21943724	-0.803497207	-1.751369199
25	-0.216779597	0.739349763	-1.27968779	-1.216782574	0.197820299	-0.03429017	-0.569470305	0.687515529	0.251920311	0.918406567	1.072572268	0.101802988	1.230399178	0.6674794	0.66575454	-1.667677238	0.323682359	0.557068628	0.180536376	0.446722851	0.690249182	0.450696443	0.678263765	-0.500208075	1.496016904	-1.493715297	-1.537885895	0.601154206	-0.445533425	0.234961348	0.73113025	-0.693478639	-0.120903144	1.282422756	-1.165033797	0.181362245	0.135240543	8.68E-02	-1.314751441	-0.237062502	-1.152462575	0.552147952	-8.17E-02	1.268085467	1.92E-02	1.793267507	1.36797534	-0.421894183	-2.834701968	0.770649426	-0.110108463	2.018852175	0.957588481	0.201841019	-0.930398748	-0.989665955	-0.169006601	-1.218488168	1.103147404	-1.867233578	-1.798119008	-0.595005707
26	-0.28525141	-0.507843647	-1.617359861	-0.805150357	-0.204089642	-1.258519159	-0.325828448	-1.292280792	0.846740627	-1.276279765	1.511922472	-0.107727198	0.247508871	-0.119102898	0.891070781	0.825965901	0.634779756	-2.184516778	0.33212531	-1.235366834	-0.248467084	-1.036156541	0.553697749	-3.119448623	1.460078799	-0.721589969	-0.733743261	1.266027569	0.609788635	0.983169903	0.871346654	-0.224810804	0.740686476	0.666403254	-0.256545545	0.539647347	0.20236683	0.978492236	-0.677171762	0.904470307	-0.26574036	-0.608389757	0.267370763	0.981654328	0.410181392	1.860151341	0.981858683	-1.009856016	-1.292420018	0.65377941	0.679396903	1.946842148	0.787214267	0.200724848	-0.126430102	-0.920372909	-0.293204679	-0.652737357	1.478043159	-1.06753962	-0.642539003	-0.197026518
27	-0.89634889	-0.496026931	-0.952770949	-1.147892962	0.634789948	5.69E-02	-0.739703693	0.579819222	0.105557251	1.056881331	1.83488232	0.583701426	0.174494011	-0.372149661	0.737173515	-1.414572958	-0.329268221	0.259372811	0.622463678	0.593417434	-0.628740935	-0.673844861	0.421788963	-0.757476094	1.760360016	-1.315768191	-2.011912627	0.962945631	-0.544376595	0.414512445	1.029899992	-0.609161047	5.26E-02	1.66734318	-1.107077956	0.685848799	0.608610532	0.436722889	-0.974460167	-8.20E-02	-0.905970279	0.64753102	-5.39E-02	1.4958286	-7.81E-03	2.080035229	1.719655812	-0.653518673	-1.783548637	0.301218997	-0.805510708	1.881607709	0.879845418	0.306972348	-0.345857593	-0.808868907	-0.268341861	-1.214926758	1.165742465	-1.667402293	-1.47566693	-0.713624412
28	-1.433043056	-0.932765587	-2.303681993	-1.437596392	-0.401622571	-0.700357624	-0.694117604	0.190494007	0.869494767	0.204595177	1.489547443	0.527034359	-2.82E-02	-0.662002251	0.284076435	-0.433773076	-5.69E-02	-1.268041433	-0.149027422	-0.19749337	-0.496220222	-1.172524524	-2.96E-03	-2.817178295	0.468672561	-1.051603268	-1.579944821	0.448663475	0.154250214	0.619482059	0.652426401	-0.379416237	0.708868075	0.817237169	-0.59199249	0.597808827	-0.848303457	1.027375896	-0.354892531	0.3158912	-0.781234719	0.428077939	0.919020124	1.438866723	1.103005333	2.142016845	1.827013449	0.305897884	-1.173545513	0.820443046	-0.770429084	2.183087786	0.210065214	0.481162752	0.62008694	0.518366863	0.613104658	-1.313383603	1.17538941	-0.319530075	-0.422154774	0.612402989
29	0.24425254	0.570456425	-1.680243125	-1.272783134	-0.45513026	-1.560017232	-0.126146468	-0.782364064	-1.781650615	0.619696015	0.461396043	0.276756887	-5.96E-02	0.137237609	-0.192342898	1.409592987	-0.632227637	-2.119634722	-2.106796951	-1.238605287	0.814232485	0.583754277	0.253871915	-2.186536903	0.680796581	-2.77E-02	0.291190381	1.191303433	1.751264283	1.586493733	1.275836731	-0.656266222	0.635263829	0.602688258	-0.218600337	-0.833813544	0.680166741	-3.29E-03	0.370466423	0.98342681	-1.25342667	-1.279408558	0.801553158	0.371650907	1.823562199	0.212162924	1.050776187	-0.76305466	-6.18E-02	1.070231652	0.554635831	0.723700815	0.110640649	-0.531137947	-1.247437239	-0.587883057	-0.529314872	-1.10E-02	1.883095321	2.44E-02	-0.446865295	0.598606797
30	-0.569335121	-1.140276572	-2.074416235	-1.752850951	-0.823967715	-0.709419739	8.46E-02	1.158256433	0.840416382	0.542334305	-0.273472304	0.208332033	-0.889427855	-0.85842394	1.179893015	-1.888342264	-0.540489169	4.82E-03	1.01451005	0.20813849	0.299877512	-0.450953667	0.810728621	-2.500711805	1.43E-02	-0.478251762	-2.177442063	-1.48E-02	0.762931741	-0.580930662	0.383283712	-0.414555551	-0.212405043	0.797696843	-7.99E-02	0.011758494	-0.968628198	-0.351463362	0.472084554	-0.663465466	-0.582643303	4.38E-02	2.02215108	1.60849659	0.598269108	1.577644274	1.238726196	1.012196414	-0.958152098	0.22081006	1.054533195	1.983860998	0.357407008	0.933378442	0.135950842	0.348629548	0.116640779	-1.777969851	-0.190058861	-5.61E-02	1.055327819	0.877055863
31	-0.542186312	-0.86445988	-2.227668624	-0.815456737	0.244987517	-1.023936219	-6.55E-02	-1.33974537	1.086591964	-0.143930606	1.719204126	0.326552974	-2.90E-02	-0.244719063	0.529576613	0.702633975	0.365616747	-1.131267594	0.544747288	-0.658876758	-0.803531749	-0.928678856	1.156699327	-2.382850571	1.29019928	-0.598084529	-0.759585114	1.119344986	0.370740948	1.029633777	0.322626826	-0.43245036	0.688322454	0.357045278	-0.442675607	0.504039101	0.252805152	1.100735887	-0.797187672	0.714614325	-0.871373382	-0.929505413	0.564470643	1.71303005	0.226527565	1.742689664	2.108781218	-1.074585224	-1.631998591	0.147386512	0.921586706	1.853267084	0.426678973	-0.23745789	-1.123054454	-0.559156645	-0.444707972	-0.72525006	1.430484289	-1.272332476	-0.2219721	-0.238464085
32	-7.01E-02	1.383922566	-1.447261113	1.26355514	-0.864187244	-1.187274391	-0.475063532	-1.50198026	1.441395689	0.803064042	-0.748825486	1.174472129	-0.681427854	0.318819381	0.820404217	9.72E-02	-1.294347187	-0.324105125	-0.368296833	-1.067549837	1.197533615	1.325817279	-0.709854948	-2.332060609	0.425232125	-0.368248178	-0.729392595	0.470191093	1.511633144	0.268793375	1.634084502	-1.434665107	-1.515165726	-0.399442389	0.282514537	-2.323060956	-8.08E-02	-1.680304257	0.90520424	0.340089033	-0.198929674	0.479565607	1.264625136	-4.06E-02	1.842814301	0.404244216	0.502259316	1.136823787	-0.21648622	0.54240313	-0.38395272	0.210463781	0.753541548	1.005404366	-0.670020019	-0.13368301	0.37283554	-0.432729085	-0.444353209	0.943510213	-1.315393919	0.317167671
